gene,HR,pvalue,FDR
ENSG00000081237.20,0.8639299382713421,5.247338498719874e-7,2.2537176001668085e-5
ENSG00000110448.11,0.8942589194556434,1.6833633643482815e-4,0.001446766932726822
ENSG00000101213.7,1.1260793756882432,5.5718561576828e-4,0.0037012515937223595
ENSG00000205363.6,1.0868029306525164,0.006108227006373893,0.025958667362686667
ENSG00000086289.12,1.004430418505038,0.8874710883484335,0.9321504403510521
ENSG00000108176.15,0.9926321295312465,0.8164930307242411,0.8884268304726243
ENSG00000122224.18,0.885364731232343,7.640453736907127e-5,7.94543650561527e-4
ENSG00000160307.10,0.9350659582547404,0.023101328490117028,0.0714170859750095
ENSG00000127951.8,0.8533153831851604,1.8640030791520259e-7,1.1237559780931616e-5
ENSG00000108947.5,1.041541331849477,0.18159107284423343,0.33114055645893387
ENSG00000137959.16,0.8751549417376668,6.944844121162387e-6,1.3309620802319638e-4
ENSG00000080493.18,0.9402485284976584,0.04772570175120122,0.12414142493994203
ENSG00000127152.18,0.9178089280606434,0.0034811594153083187,0.016275369630471815
ENSG00000007312.13,0.9621958392997586,0.21041817412663655,0.36621840883139734
ENSG00000138944.8,1.0226906056360212,0.44481999126635874,0.6067601844325952
ENSG00000271503.6,0.8730969971257883,4.110752964514937e-6,8.716257258973434e-5
ENSG00000113296.14,1.0365394111721429,0.22462398976449308,0.38137464377263297
ENSG00000169429.11,1.0152307614364882,0.6455335604396596,0.7743369924773102
ENSG00000167723.15,1.0294122001466952,0.38833180308933823,0.5570785257465001
ENSG00000115318.12,0.9028370434492726,8.761183515729638e-4,0.005337812417256961
ENSG00000104899.8,0.9817484998760957,0.5472230759100559,0.6957828738439501
ENSG00000168546.11,1.024470749282184,0.41840319321294756,0.5838655224831757
ENSG00000203797.12,0.8785523221313818,3.0126985426206397e-5,3.9449000288451413e-4
ENSG00000226674.11,1.0722334001871325,0.019672033910966617,0.06344262644916507
ENSG00000166473.17,1.0238642330798777,0.4380425663088567,0.6011217878400277
ENSG00000253293.5,1.0097204864400429,0.7632103237835143,0.8515677090263525
ENSG00000125726.11,0.8938120124998176,0.0011014897736179882,0.00642150564992678
ENSG00000163293.12,0.9729030333295062,0.39808174388682627,0.5662295159165208
ENSG00000077264.15,0.959393750125918,0.17865752787272174,0.3268950549554877
ENSG00000256268.2,0.9625828409111162,0.24103828263779348,0.40323528085426186
ENSG00000114805.18,0.931881429659122,0.024925251465789285,0.07597569033021206
ENSG00000187123.15,1.0394378038005678,0.2466845476674764,0.40898777177087076
ENSG00000182013.18,1.0569736535718666,0.08246304683842143,0.185634635592162
ENSG00000065320.9,1.1092763882503252,8.488822920443068e-4,0.005222766574176658
ENSG00000151632.17,1.0528642336424834,0.09909787599982704,0.2135160561381098
