"gene","logFC_main","adjP_main","P_main","logFC_raw","adjP_raw","P_raw","direction_same","significant_main","significant_raw"
"CD96",0.23597551747297,0.889971158782418,0.313686617809416,0.235975517472971,0.895910945117688,0.316808964551092,TRUE,FALSE,FALSE
"IL22RA1",0.530417071754016,0.889971158782418,0.316429576482243,0.530417071754016,0.895910945117688,0.319510901225776,TRUE,FALSE,FALSE
"CD244",0.206084323693991,0.889971158782418,0.317135729011381,0.206084323693991,0.895910945117688,0.320273129874643,TRUE,FALSE,FALSE
"CXCL9",-7.47194281814247,0.889971158782418,0.317287516225005,-7.47194281814247,0.895910945117688,0.320358876071684,TRUE,FALSE,FALSE
"IL1A",0.226827637115764,0.889971158782418,0.317714355592934,0.226827637115765,0.895910945117688,0.320840077733704,TRUE,FALSE,FALSE
"CD274",0.380016068793811,0.889971158782418,0.31907325969402,0.380016068793809,0.895910945117688,0.322163772597798,TRUE,FALSE,FALSE
"CXCL12",-3.9189915466755,0.889971158782418,0.320154781317653,-3.9189915466755,0.895910945117688,0.323226105040488,TRUE,FALSE,FALSE
"MAGEC1",0.970102134938986,0.889971158782418,0.323463817164466,0.970102134938984,0.895910945117688,0.326537409501982,TRUE,FALSE,FALSE
"IL18R1",0.176412621907346,0.889971158782418,0.324773103242854,0.176412621907347,0.895910945117688,0.327930878210701,TRUE,FALSE,FALSE
"CD69",1.27816236589093,0.889971158782418,0.328072000515316,1.27816236589093,0.895910945117688,0.331143230102255,TRUE,FALSE,FALSE
"POLR2A",1.57559435156176,0.889971158782418,0.332026882434,1.57559435156176,0.895910945117688,0.335096165815691,TRUE,FALSE,FALSE
"MAGEC2",3.98489447819465,0.889971158782418,0.336800409818755,3.98489447819465,0.895910945117688,0.339866631686755,TRUE,FALSE,FALSE
"IL24",4.55026930088561,0.889971158782418,0.33721368246851,4.5502693008856,0.895910945117688,0.340279652978477,TRUE,FALSE,FALSE
"SELL",2.88632993892238,0.889971158782418,0.337532571139662,2.88632993892238,0.895910945117688,0.340598558815304,TRUE,FALSE,FALSE
"IL1R2",1.50363669279683,0.889971158782418,0.339813262204072,1.50363669279683,0.895910945117688,0.342878800256323,TRUE,FALSE,FALSE
"MAGEA1",1.08481524531774,0.889971158782418,0.340492717326556,1.08481524531774,0.895910945117688,0.343558885778071,TRUE,FALSE,FALSE
"TNFSF13B",1.8611809748284,0.889971158782418,0.341660266761434,1.8611809748284,0.895910945117688,0.344724289409802,TRUE,FALSE,FALSE
"MS4A1",4.30944675072338,0.889971158782418,0.344969086533332,4.30944675072337,0.895910945117688,0.348030309024772,TRUE,FALSE,FALSE
"IRF3",-1.47620064623845,0.889971158782418,0.351734942678559,-1.47620064623846,0.895910945117688,0.354791840215646,TRUE,FALSE,FALSE
"ICOS",0.218430455492197,0.889971158782418,0.355659917734132,0.218430455492196,0.895910945117688,0.358761960266901,TRUE,FALSE,FALSE
"HMGA1",-20.9251050773786,0.889971158782418,0.356966685657099,-20.9251050773787,0.895910945117688,0.360017663766144,TRUE,FALSE,FALSE
"CXCR4",8.82356099141122,0.889971158782418,0.357406083885685,8.82356099141121,0.895910945117688,0.360456654531411,TRUE,FALSE,FALSE
"CXCL13",14.3901945379172,0.889971158782418,0.364350267963614,14.3901945379172,0.895910945117688,0.367393420161777,TRUE,FALSE,FALSE
"CCL21",26.5068195749382,0.889971158782418,0.364527684737538,26.5068195749382,0.895910945117688,0.367570626287605,TRUE,FALSE,FALSE
