"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TNFRSF10C",-0.188101040897932,3.77441590907692,-0.95386810162196,0.342324138309865,0.650915254030554,-4.92877789480701
"IL6R",0.156522056145381,5.84152613228846,0.948600408009159,0.344985084636194,0.650915254030554,-4.93247449286502
"CCL2",-0.237003821564981,8.47298278041346,-0.924134480142357,0.357518693710076,0.660535224795357,-4.94938068271376
"TNFSF4",0.159565730972874,3.80224648999038,0.922191022869219,0.358526621240846,0.660535224795357,-4.95070507912241
"IL1A",0.233394820003387,2.57492505906731,0.919372307718901,0.359991697513469,0.660535224795357,-4.95262107753315
"IL10",0.179752838467794,2.96140530042308,0.908213900014529,0.365828824586467,0.665143317429941,-4.96014948582993
"GZMK",0.257153425108092,4.49201433778846,0.892364618084175,0.374222156060917,0.671580892580206,-4.97068778519429
"CXCL16",0.16013870155668,5.76583421325962,0.888876799862461,0.376085299844915,0.671580892580206,-4.97298242679589
"CD276",-0.120061317604152,7.35265480533654,-0.852528359140373,0.395846212164112,0.700612764892234,-4.99637094191638
"FOXP3",0.169908026377021,2.39037347374038,0.845183877732008,0.399914998300741,0.701605260176739,-5.0009802652113
"PTPRC",0.198344475729565,6.38454828448077,0.830892198445276,0.407905234987397,0.706150093171984,-5.00983718428794
"TLR9",0.152687960919394,2.49115156233654,0.827941153891802,0.409567054039751,0.706150093171984,-5.01164751725689
"IL15",0.169812001961952,3.82490581295192,0.808306546448072,0.420727468550896,0.719192253933155,-5.02353107580581
"TLK2",-0.0708805682105531,6.42181529633654,-0.796718416102756,0.427398369116328,0.724404015451404,-5.0304128591243
"LIF",0.307479119920901,4.44677022971154,0.787460789375366,0.432772304590528,0.727348411076517,-5.0358403044924
"CXCL14",-0.386943938827881,6.4490458315,-0.758567023344857,0.449797739815339,0.744180604110221,-5.0523776486513
"CD14",0.123832376473065,7.48497321969231,0.757842981669412,0.450229265486684,0.744180604110221,-5.05278422527565
"AXL",0.153680838863648,5.84283556166346,0.743135228041776,0.459046365979804,0.751904692066594,-5.06096025834276
"SELL",0.188284501770995,3.32401534098077,0.737547996401014,0.462421385620955,0.751904692066594,-5.06402475345979
"POLR2A",-0.0578335830561247,7.63950360151923,-0.71592389356475,0.47561510590794,0.765791015338674,-5.0756699588307
"MAGEA1",0.25155220197363,3.46908231769231,0.7110469849346,0.478619384586671,0.765791015338674,-5.07824901668682
"EPCAM",0.238042520833893,3.66687500263462,0.704085047760782,0.48292624285122,0.766549591827333,-5.08190052043326
