"gene","logFC_GSE78220","P_GSE78220","adjP_GSE78220","logFC_GSE215868","P_GSE215868","adjP_GSE215868","logFC_GSE211645","P_GSE211645","adjP_GSE211645","n_cohorts_up","n_cohorts_down","n_cohorts_tested","direction_concordant","in_discovery_top50","in_discovery_top100"
"IRF4",0.400951512195284,0.532584955685587,0.99603003143199,-0.142902509710363,0.617231788965599,0.867693959962354,0.466809523809511,0.207299077925302,0.287915386007364,2,1,3,"Discordante",FALSE,FALSE
"JAK1",-0.139590764095864,0.53427733888795,0.99603003143199,-0.0340286066565074,0.694155167969884,0.867693959962354,0.206535714285701,0.261104411743103,0.339945724218515,1,2,3,"Discordante",FALSE,FALSE
"MAGEC2",0.655532563129439,0.53955255495912,0.99603003143199,0.351250718384934,0.558722399993464,0.840184060140547,-0.686154761904775,0.508257122884068,0.583827398550969,2,1,3,"Discordante",FALSE,FALSE
"CD70",-0.342648768370374,0.541384874162063,0.99603003143199,0.222298205545383,0.304747525636865,0.615651566943161,0.947845238095227,0.0715821595418343,0.124072178916725,2,1,3,"Discordante",FALSE,FALSE
"ITGB2",-0.263852211329195,0.543171994578351,0.99603003143199,0.308058921416943,0.121229031908563,0.409961623655655,2.22949999999998,0.000308543100117526,0.00362991882491207,2,1,3,"Discordante",FALSE,FALSE
"SELL",0.31418566556568,0.553824297634419,0.99603003143199,0.188284501770995,0.462421385620955,0.751904692066594,0.848202380952375,0.0296658150782277,0.0644909023439732,3,0,3,"Up en todas",FALSE,FALSE
"HSD11B1",-0.358225276522263,0.55845033081893,0.99603003143199,0.0526230682410507,0.84399440367862,0.943010506903486,1.2730238095238,0.040438074829903,0.0816930804644505,2,1,3,"Discordante",FALSE,FALSE
"PIK3CG",-0.19214110419381,0.563680580553507,0.99603003143199,0.0861507162847444,0.692957321162833,0.867693959962354,1.10395238095237,0.00363563996461157,0.0142574116259277,2,1,3,"Discordante",FALSE,FALSE
"PTGS2",0.239616366246119,0.564067562176341,0.99603003143199,-0.0265309127363511,0.92212753460243,0.976570586152002,0.41319047619047,0.481093689278056,0.559411266602391,2,1,3,"Discordante",FALSE,FALSE
"RORC",-0.29911421087442,0.564710494849421,0.99603003143199,0.467711492745383,0.0796546551841877,0.402934947132882,0.00748809523808891,0.987447723805988,0.990869318588327,2,1,3,"Discordante",FALSE,FALSE
"CXCL14",-0.529077401956727,0.565430844809886,0.99603003143199,-0.386943938827881,0.449797739815339,0.744180604110221,-0.348726190476203,0.689611583740928,0.745526036476679,0,3,3,"Down en todas",FALSE,FALSE
