"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","direction"
"NFKB1",-0.117855164774302,17.2023611111111,-1.31167788988304,0.190456729904527,0.658172808721282,-4.50798018467575,"Down_in_responders"
"IGF2BP2",0.175308778731652,16.4312222222222,1.30292652562142,0.193424676688013,0.658172808721282,-4.5132414420477,"Up_in_responders"
"CXCL8",-0.208764885073386,22.1286111111111,-1.29548678050203,0.195974507702137,0.658172808721282,-4.51768686125829,"Down_in_responders"
"PPP2R4",-0.194097202990861,21.4838611111111,-1.29260737986418,0.196967977969306,0.658172808721282,-4.5194006335564,"Down_in_responders"
"IL18",-0.138681066814833,21.7350417827298,-1.28400397536871,0.199960689414938,0.658172808721282,-4.52448899823224,"Down_in_responders"
"XK",0.204994461368043,18.4014166666667,1.27672418285663,0.202514710375779,0.658172808721282,-4.5287864747499,"Up_in_responders"
"IL18BP",-0.130800332317917,17.468,-1.24963894012517,0.21223553351023,0.666853144508659,-4.54452788490712,"Down_in_responders"
"SERPINA1",-0.125832179451676,12.8336666666667,-1.24469046738195,0.214047503606179,0.666853144508659,-4.54736785696148,"Down_in_responders"
"PTEN",-0.105656327887012,14.2554166666667,-1.23534822173521,0.2174988222653,0.666853144508659,-4.55269913498591,"Down_in_responders"
"ADGRE5",-0.122625311548048,13.035,-1.22301648952537,0.222115830610862,0.666853144508659,-4.55967568907818,"Down_in_responders"
"IL1R1",-0.153476876211574,20.6040833333333,-1.21562973967804,0.22491496589937,0.666853144508659,-4.5638215718478,"Down_in_responders"
"HOXA10",-0.198337025754639,23.1564722222222,-1.19830588376283,0.23157870852252,0.671139882650644,-4.57344743900475,"Down_in_responders"
"SOCS1",0.123366103572417,17.5065277777778,1.18246487859079,0.237794234981654,0.671139882650644,-4.58212989863478,"Up_in_responders"
"GYPA",0.192747161451122,19.9490555555556,1.16562790798191,0.244529256206931,0.671139882650644,-4.59123306372657,"Up_in_responders"
"CDKN2D",0.0769592910551088,15.0722222222222,1.15963569722876,0.246958361617825,0.671139882650644,-4.59444170718063,"Up_in_responders"
"NUDT4",0.139268900581556,16.3922222222222,1.14937703150897,0.251156291049252,0.671139882650644,-4.59989694709697,"Up_in_responders"
"TIMP1",0.112129603987815,14.8211111111111,1.1395147226784,0.25523892692072,0.671139882650644,-4.60509622320973,"Up_in_responders"
"CDKN1B",-0.0965868180559404,15.2790277777778,-1.13372424330443,0.257657446574255,0.671139882650644,-4.60812823844662,"Down_in_responders"
"TNS1",0.163841041262809,20.4388333333333,1.13259554688381,0.258130724096401,0.671139882650644,-4.60871746798579,"Up_in_responders"
"CCL3",0.135789255054,20.7930833333333,1.11204069479189,0.266855637731928,0.671347930362097,-4.61934643635738,"Up_in_responders"
"TNFRSF1B",-0.107981168651342,13.3374444444444,-1.09955782702681,0.272252567829174,0.671347930362097,-4.62570734294762,"Down_in_responders"
"TSPAN5",0.113717806701745,16.3036388888889,1.08796668020374,0.277330706937125,0.671347930362097,-4.63155021293426,"Up_in_responders"
"CD86",-0.113011631127112,17.9355277777778,-1.08337096879361,0.279361935621924,0.671347930362097,-4.63384985042267,"Down_in_responders"
"LCK",-0.124094433674882,16.2901944444444,-1.06717262936502,0.286602188739478,0.671347930362097,-4.64187843678728,"Down_in_responders"
"SPARC",0.154249515369704,16.0074166666667,1.05708145562759,0.29117647053692,0.671347930362097,-4.64681949593804,"Up_in_responders"
"CDKN2A",-0.134743838271946,21.1762222222222,-1.05296715517655,0.293055533411027,0.671347930362097,-4.64882068432698,"Down_in_responders"
"TLR2",-0.108345333702575,15.9158055555556,-1.0529191722192,0.293077496054647,0.671347930362097,-4.64884397754525,"Down_in_responders"
"BAX",-0.0911921905289388,15.9125833333333,-1.03944285344657,0.299289770956496,0.671347930362097,-4.65534440030195,"Down_in_responders"
"TNFRSF13B",-0.19568263638881,21.5287222222222,-1.02238479689365,0.307278791317492,0.671347930362097,-4.6634535158766,"Down_in_responders"
"ST14",-0.122434228745499,18.0148333333333,-1.01961142774898,0.308590957319241,0.671347930362097,-4.66475936086086,"Down_in_responders"
"CD4",-0.111604818609804,15.3240833333333,-1.01773478722579,0.309480961076215,0.671347930362097,-4.6656409853273,"Down_in_responders"
"MNDA",-0.0968997507615622,12.5590833333333,-1.01695160579143,0.309852890936353,0.671347930362097,-4.66600843895329,"Down_in_responders"
"GLRX5",0.128098864580449,15.2041388888889,0.975000288834217,0.33020855664626,0.706395519914151,-4.68528125558993,"Up_in_responders"
"IRAK3",-0.108006092495153,16.5959444444444,-0.962246091050095,0.336565711323604,0.710418245658352,-4.6909810345776,"Down_in_responders"
"MAPK14",-0.0972348379950154,15.5500277777778,-0.9544379593587,0.340496318925009,0.710418245658352,-4.69443369642958,"Down_in_responders"
"IL1R2",-0.114795070617558,16.2620833333333,-0.927467299935172,0.354299416171797,0.727978190334033,-4.70614501987042,"Down_in_responders"
"EGR1",0.097450844641374,20.1313055555556,0.921256183859039,0.357527750282395,0.727978190334033,-4.70879483351799,"Up_in_responders"
"BPGM",0.15280116311271,16.9280277777778,0.881146743158747,0.378820684384555,0.740577923493963,-4.72548071114557,"Up_in_responders"
"PTPRC",-0.0792509000276926,12.7084722222222,-0.881133945226627,0.378827601144258,0.740577923493963,-4.72548591747653,"Down_in_responders"
"TP53",-0.0806577125450011,16.6749166666667,-0.873568903418037,0.382929847057428,0.740577923493963,-4.72855030722057,"Down_in_responders"
