"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","direction"
"GO:0098773","skin epidermis development","7/290","89/11800",0.0786516853932584,3.20030995738086,3.30724078213072,0.00623217800853903,0.0606987650393483,0.050432796596862,"COL6A1/STMN1/INHBA/GAL/WNT5A/IGFBP5/LDB2",7,"Down en respondedores"
"GO:0042733","embryonic digit morphogenesis","5/290","48/11800",0.104166666666667,4.23850574712644,3.56856274386579,0.00625255662211096,0.0606987650393483,0.050432796596862,"SFRP2/OSR1/WNT5A/HOXA11/MSX1",5,"Down en respondedores"
"GO:0043536","positive regulation of blood vessel endothelial cell migration","5/290","48/11800",0.104166666666667,4.23850574712644,3.56856274386579,0.00625255662211096,0.0606987650393483,0.050432796596862,"FOXC2/NRP1/PDGFB/SRPX2/VEGFC",5,"Down en respondedores"
"GO:0023019","signal transduction involved in regulation of gene expression","3/290","16/11800",0.1875,7.62931034482759,4.21178227622125,0.00648820935890234,0.0627972935848116,0.0521764014826855,"PDGFRA/GSC/MSX1",3,"Down en respondedores"
"GO:0010595","positive regulation of endothelial cell migration","7/290","90/11800",0.0777777777777778,3.16475095785441,3.2721611602257,0.00661969763976851,0.0636112219765133,0.0528526703490536,"FOXC2/RRAS/NRP1/PDGFB/WNT5A/SRPX2/VEGFC",7,"Down en respondedores"
"GO:0072089","stem cell proliferation","7/290","90/11800",0.0777777777777778,3.16475095785441,3.2721611602257,0.00661969763976851,0.0636112219765133,0.0528526703490536,"FBLN1/PRRX1/SFRP2/MECOM/RUNX2/WNT5A/VEGFC",7,"Down en respondedores"
"GO:0010466","negative regulation of peptidase activity","4/290","31/11800",0.129032258064516,5.25027808676307,3.76107807718866,0.00666474529507515,0.0636112219765133,0.0528526703490536,"TIMP3/LRP1/SERPINH1/SERPINE1",4,"Down en respondedores"
"GO:0043537","negative regulation of blood vessel endothelial cell migration","4/290","31/11800",0.129032258064516,5.25027808676307,3.76107807718866,0.00666474529507515,0.0636112219765133,0.0528526703490536,"MMRN1/ANGPT2/RGCC/ACVRL1",4,"Down en respondedores"
"GO:0032409","regulation of transporter activity","8/290","113/11800",0.0707964601769911,2.8806835520293,3.18850691925047,0.00667098759790925,0.0636112219765133,0.0528526703490536,"TRPC6/SYNGR3/EDNRA/FHL1/GAL/OSR1/KCNE4/SLC6A9",8,"Down en respondedores"
"GO:0043588","skin development","11/290","188/11800",0.0585106382978723,2.38077769625825,3.02923601805714,0.00676439116652595,0.0643116009726051,0.053434594403484,"ADAMTS2/COL6A1/STMN1/INHBA/COL5A2/COMP/GAL/WNT5A/COL3A1/IGFBP5/LDB2",11,"Down en respondedores"
"GO:0003208","cardiac ventricle morphogenesis","5/290","49/11800",0.102040816326531,4.15200562983814,3.50938931208909,0.00682631961709899,0.0645197305745162,0.0536075230927607,"CPE/FOXC2/HEYL/EDNRA/SFRP2",5,"Down en respondedores"
"GO:0048644","muscle organ morphogenesis","5/290","49/11800",0.102040816326531,4.15200562983814,3.50938931208909,0.00682631961709899,0.0645197305745162,0.0536075230927607,"FOXC2/EDNRA/WNT2/GSC/COL3A1",5,"Down en respondedores"
